poop_id,lab,observer_id,date,dilution,volume_used,concentration,cv,plate_id,is_rerun,hormone,protocol_id
B2159,Boonstra,BJD,2011-05-30,9,10,14.578,0,T.2011.43,NA,Testosterone,TB910
B2163,Boonstra,BJD,2011-06-01,9,10,9.031,1.3,T.2011.47,NA,Testosterone,TB910
B2171,Boonstra,BJD,2011-05-30,9,10,23.971,2.4,T.2011.43,NA,Testosterone,TB910
B2181,Boonstra,BJD,2011-05-30,9,10,11.343,0.9,T.2011.42,NA,Testosterone,TB910
B2185,Boonstra,BJD,2011-05-29,9,10,15.418,6.4,T.2011.41,NA,Testosterone,TB910
B2189,Boonstra,BJD,2011-06-01,9,10,14.523,4.7,T.2011.47,NA,Testosterone,TB910
B2191,Boonstra,BJD,2011-05-21,9,10,13.447,1.7,T.2011.32,NA,Testosterone,TB910
B2194,Boonstra,BJD,2011-05-30,9,10,34.757,0,T.2011.43,NA,Testosterone,TB910
B2195,Boonstra,BJD,2011-05-15,9,10,15.559,17.1,T.2011.14,NA,Testosterone,TB910
B2198,Boonstra,BJD,2011-05-29,9,10,13.085,0,T.2011.41,NA,Testosterone,TB910
B2201,Boonstra,BJD,2011-05-20,9,10,14.667,8.9,T.2011.27,NA,Testosterone,TB910
B2203,Boonstra,BJD,2011-05-17,9,10,7.168,12.7,T.2011.18,NA,Testosterone,TB910
B2204,Boonstra,BJD,2011-05-20,9,10,11.675,6,T.2011.30,NA,Testosterone,TB910
B2209,Boonstra,BJD,2011-05-17,9,10,12.28,5.9,T.2011.19,NA,Testosterone,TB910
B2211,Boonstra,BJD,2011-05-15,9,10,18.603,18.2,T.2011.11,NA,Testosterone,TB910
B2217,Boonstra,BJD,2011-05-20,9,10,21.595,7.4,T.2011.27,NA,Testosterone,TB910
B2220,Boonstra,BJD,2011-05-20,9,10,21.832,8.3,T.2011.26,NA,Testosterone,TB910
B2221,Boonstra,BJD,2011-05-16,9,10,9.059,3.6,T.2011.16,NA,Testosterone,TB910
B2235,Boonstra,BJD,2011-05-15,9,10,4.134,6.5,T.2011.11,NA,Testosterone,TB910
B2246,Boonstra,BJD,2011-05-26,9,10,22.081,10,T.2011.40,NA,Testosterone,TB910
B2303,Boonstra,BJD,2011-05-20,9,10,16.093,7.9,T.2011.26,NA,Testosterone,TB910
B2306,Boonstra,BJD,2011-05-21,9,10,20.123,14.6,T.2011.32,NA,Testosterone,TB910
B2307,Boonstra,BJD,2011-05-29,9,10,16.859,6.1,T.2011.41,NA,Testosterone,TB910
B2310,Boonstra,BJD,2011-05-26,9,10,24.512,4.5,T.2011.40,NA,Testosterone,TB910
B2312,Boonstra,BJD,2011-05-20,9,10,21.437,2.7,T.2011.27,NA,Testosterone,TB910
B2315,Boonstra,BJD,2011-05-20,9,10,12.813,1.6,T.2011.26,NA,Testosterone,TB910
B2316,Boonstra,BJD,2011-05-15,9,10,33.149,13.3,T.2011.13,NA,Testosterone,TB910
B2317,Boonstra,BJD,2011-05-26,9,10,10.311,3.1,T.2011.40,NA,Testosterone,TB910
B2322,Boonstra,BJD,2011-05-20,9,10,6.574,9.4,T.2011.26,NA,Testosterone,TB910
B2337,Boonstra,BJD,2011-05-17,9,10,3.494,0.8,T.2011.17,NA,Testosterone,TB910
B2347,Boonstra,BJD,2011-05-19,9,10,15.049,19.6,T.2011.25,NA,Testosterone,TB910
B2360,Boonstra,BJD,2011-05-19,9,10,9.26,6.2,T.2011.22,NA,Testosterone,TB910
B2375,Boonstra,BJD,2011-05-15,9,10,35.142,53.5,T.2011.13,NA,Testosterone,TB910
